Postcode - Incident,Offence count,Coordinates,Latitude,Longitude
0832,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
0870,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
0872,3377.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
1011,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2000,2.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2010,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2015,1.0,"(-33.9513544, 151.2495985)",-33.9513544,151.2495985
2016,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2022,1.0,"(-33.9513544, 151.2495985)",-33.9513544,151.2495985
2026,1.0,"(-33.9513544, 151.2495985)",-33.9513544,151.2495985
2044,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2048,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2062,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2064,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2065,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2110,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2112,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2115,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2121,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2138,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2141,2.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2145,1.0,"(-33.867278, 151.084546)",-33.867278,151.084546
2148,1.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2161,1.0,"(-33.8931163, 151.0857181)",-33.8931163,151.0857181
2164,1.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2190,1.0,"(-33.8931163, 151.0857181)",-33.8931163,151.0857181
2208,1.0,"(-33.960297, 151.116944)",-33.960297,151.116944
2228,1.0,"(-33.97735, 151.105315)",-33.97735,151.105315
2232,1.0,"(-33.97735, 151.105315)",-33.97735,151.105315
2250,1.0,"(-33.915305, 151.15168)",-33.915305,151.15168
2262,2.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2299,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2305,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2315,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2316,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2327,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2330,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2335,1.0,"(-32.916835, 151.67469)",-32.916835,151.67469
2370,1.0,"(-35.3236705, 149.1376464)",-35.3236705,149.1376464
2380,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2443,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2450,1.0,"(-30.8850809, 153.0404537)",-30.8850809,153.0404537
2469,1.0,"(-28.80864745, 153.27007206165234)",-28.80864745,153.27007206165234
2478,1.0,"(-28.80864745, 153.27007206165234)",-28.80864745,153.27007206165234
2481,1.0,"(-28.80864745, 153.27007206165234)",-28.80864745,153.27007206165234
2486,1.0,"(-28.80864745, 153.27007206165234)",-28.80864745,153.27007206165234
2518,1.0,"(-33.97735, 151.105315)",-33.97735,151.105315
2560,1.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2567,2.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2574,1.0,"(-33.935026, 150.906068)",-33.935026,150.906068
2600,1.0,"(-35.306974249999996, 149.11336788949936)",-35.306974249999996,149.11336788949936
2604,1.0,"(-35.33510305, 149.14888937829346)",-35.33510305,149.14888937829346
2615,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2620,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2648,1.0,"(-34.2154003, 142.0260929)",-34.2154003,142.0260929
2680,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2717,1.0,"(-34.2154003, 142.0260929)",-34.2154003,142.0260929
2756,2.0,"(-33.617654, 150.807059)",-33.617654,150.807059
2762,1.0,"(-33.617654, 150.807059)",-33.617654,150.807059
2850,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
2880,1.0,"(-31.979377, 141.461444)",-31.979377,141.461444
2912,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3000,6.0,"(-37.8042399, 144.9661393)",-37.8042399,144.9661393
3001,4.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3006,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3008,2.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3012,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3020,3.0,"(-37.7723618, 144.9495635)",-37.7723618,144.9495635
3023,1.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3027,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3028,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3030,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3031,1.0,"(-37.8042399, 144.9661393)",-37.8042399,144.9661393
3037,1.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3043,2.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3047,1.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3049,1.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3055,1.0,"(-37.7723618, 144.9495635)",-37.7723618,144.9495635
3064,1.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3072,2.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3082,1.0,"(-37.7391746, 144.9464896)",-37.7391746,144.9464896
3084,1.0,"(-37.805901, 144.977369)",-37.805901,144.977369
3091,1.0,"(-37.8118351, 145.2691543)",-37.8118351,145.2691543
3108,1.0,"(-37.8297119, 145.0438839)",-37.8297119,145.0438839
3109,1.0,"(-37.8118351, 145.2691543)",-37.8118351,145.2691543
3122,1.0,"(-37.8297119, 145.0438839)",-37.8297119,145.0438839
3125,1.0,"(-37.8297119, 145.0438839)",-37.8297119,145.0438839
3134,4.0,"(-37.8118351, 145.2691543)",-37.8118351,145.2691543
3136,2.0,"(-37.8118351, 145.2691543)",-37.8118351,145.2691543
3145,1.0,"(-37.909822, 145.0861257)",-37.909822,145.0861257
3146,1.0,"(-37.8297119, 145.0438839)",-37.8297119,145.0438839
3156,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
3165,2.0,"(-37.909822, 145.0861257)",-37.909822,145.0861257
3170,3.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3174,1.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3175,3.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3179,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
3180,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
3192,2.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3212,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3216,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3218,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3222,1.0,"(-37.8300803, 144.9568954)",-37.8300803,144.9568954
3260,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3271,1.0,"(-35.3290988, 149.1280884)",-35.3290988,149.1280884
3304,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3311,2.0,"(-37.8062142, 140.766463)",-37.8062142,140.766463
3312,1.0,"(-37.8062142, 140.766463)",-37.8062142,140.766463
3318,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3352,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3355,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3356,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3377,2.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3379,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3380,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3414,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3420,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3516,1.0,"(-36.774006, 144.2905159)",-36.774006,144.2905159
3551,1.0,"(-36.774006, 144.2905159)",-36.774006,144.2905159
3634,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3825,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3840,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
3880,1.0,"(-37.88531995, 147.97159660490675)",-37.88531995,147.97159660490675
3977,1.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3978,3.0,"(-37.926817650000004, 145.0973756094169)",-37.926817650000004,145.0973756094169
3995,1.0,"(-37.8683445, 145.2415282)",-37.8683445,145.2415282
4000,2.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4032,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4034,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4035,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4053,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4059,2.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4068,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4104,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4129,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4209,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4210,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4214,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4217,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4218,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4221,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4226,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4227,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4280,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4306,2.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4343,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4344,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
4506,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4510,1.0,"(-27.58947155, 153.06105305260957)",-27.58947155,153.06105305260957
4741,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
4810,1.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
4870,4.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
5000,91833.0,"(-34.920630700000004, 138.60396883837132)",-34.920630700000004,138.60396883837132
5001,2.0,"(-33.358255150000005, 115.63522152018518)",-33.358255150000005,115.63522152018518
5005,1.0,"(-34.920630700000004, 138.60396883837132)",-34.920630700000004,138.60396883837132
5006,9192.0,"(-34.920630700000004, 138.60396883837132)",-34.920630700000004,138.60396883837132
5007,14653.0,"(-34.904619369921875, 138.56869979609374)",-34.904619369921875,138.56869979609374
5008,16420.0,"(-34.885446486666666, 138.56407431)",-34.885446486666666,138.56407431
5009,9253.0,"(-34.89333800508475, 138.55207747711864)",-34.89333800508475,138.55207747711864
5010,7665.0,"(-34.860966592380954, 138.5668656361905)",-34.860966592380954,138.5668656361905
5011,15845.0,"(-34.881330125, 138.53629488671876)",-34.881330125,138.53629488671876
5012,13116.0,"(-34.86198336031746, 138.54154087460319)",-34.86198336031746,138.54154087460319
5013,16329.0,"(-34.85066114414894, 138.5248049)",-34.85066114414894,138.5248049
5014,12807.0,"(-34.865867036257306, 138.51711015789473)",-34.865867036257306,138.51711015789473
5015,13984.0,"(-34.84517732021858, 138.50466336010928)",-34.84517732021858,138.50466336010928
5016,8120.0,"(-34.83179705813008, 138.48851880731706)",-34.83179705813008,138.48851880731706
5017,7086.0,"(-34.80152061538462, 138.50340973076922)",-34.80152061538462,138.50340973076922
5018,3426.0,"(-34.78546396666667, 138.49203573333332)",-34.78546396666667,138.49203573333332
5019,11095.0,"(-34.837545869078944, 138.4885480861842)",-34.837545869078944,138.4885480861842
5020,1856.0,"(-34.86868936896552, 138.48609383793104)",-34.86868936896552,138.48609383793104
5021,8523.0,"(-34.885727736438355, 138.49197748876713)",-34.885727736438355,138.49197748876713
5022,10727.0,"(-34.8990759035835, 138.49936951710615)",-34.8990759035835,138.49936951710615
5023,18072.0,"(-34.89943547857143, 138.52180822743506)",-34.89943547857143,138.52180822743506
5024,8369.0,"(-34.92796779470588, 138.51347366352942)",-34.92796779470588,138.51347366352942
5025,5285.0,"(-34.907417697619046, 138.54441454285714)",-34.907417697619046,138.54441454285714
5031,14930.0,"(-34.92000766213425, 138.5706435419105)",-34.92000766213425,138.5706435419105
5032,8363.0,"(-34.9259306913242, 138.5416776173516)",-34.9259306913242,138.5416776173516
5033,8232.0,"(-34.938121511698114, 138.56082045962265)",-34.938121511698114,138.56082045962265
5034,7836.0,"(-34.955134794, 138.58736359866666)",-34.955134794,138.58736359866666
5035,5557.0,"(-34.95126953541667, 138.57691275729167)",-34.95126953541667,138.57691275729167
5037,8155.0,"(-34.95488920969697, 138.5627480690909)",-34.95488920969697,138.5627480690909
5038,14089.0,"(-34.967575402, 138.55364884933334)",-34.967575402,138.55364884933334
5039,11182.0,"(-34.983144796747965, 138.5732751)",-34.983144796747965,138.5732751
5040,1458.0,"(-34.96879955, 138.535683325)",-34.96879955,138.535683325
5041,6582.0,"(-34.98414740705882, 138.58917321058823)",-34.98414740705882,138.58917321058823
5042,11157.0,"(-35.00533706980057, 138.57442312877492)",-35.00533706980057,138.57442312877492
5043,19611.0,"(-34.998966702631584, 138.55619671157893)",-34.998966702631584,138.55619671157893
5044,6189.0,"(-34.99515835535714, 138.52450676428572)",-34.99515835535714,138.52450676428572
5045,16487.0,"(-34.977799203669726, 138.51900911651376)",-34.977799203669726,138.51900911651376
5046,19120.0,"(-35.00963573589743, 138.53988154102564)",-35.00963573589743,138.53988154102564
5047,7721.0,"(-35.02586118888889, 138.55579015555557)",-35.02586118888889,138.55579015555557
5048,10666.0,"(-35.01262193913044, 138.52447641956522)",-35.01262193913044,138.52447641956522
5049,5530.0,"(-35.03222330714286, 138.53170847857143)",-35.03222330714286,138.53170847857143
5050,1862.0,"(-35.025887, 138.59436302)",-35.025887,138.59436302
5051,4388.0,"(-35.02935305833333, 138.61948077083332)",-35.02935305833333,138.61948077083332
5052,2067.0,"(-35.0062303, 138.62377419230768)",-35.0062303,138.62377419230768
5061,6543.0,"(-34.95325923900709, 138.60711823049647)",-34.95325923900709,138.60711823049647
5062,7359.0,"(-34.97449983333333, 138.6086675377778)",-34.97449983333333,138.6086675377778
5063,7641.0,"(-34.94729789162996, 138.6247282726872)",-34.94729789162996,138.6247282726872
5064,5097.0,"(-34.959909961403504, 138.6406572736842)",-34.959909961403504,138.6406572736842
5065,5589.0,"(-34.93944774897959, 138.63687032959186)",-34.93944774897959,138.63687032959186
5066,3372.0,"(-34.93774614444444, 138.6664276)",-34.93774614444444,138.6664276
5067,10597.0,"(-34.92372802264151, 138.62619764716982)",-34.92372802264151,138.62619764716982
5068,5414.0,"(-34.92107372352941, 138.64856761470588)",-34.92107372352941,138.64856761470588
5069,6680.0,"(-34.91306319454545, 138.61958378)",-34.91306319454545,138.61958378
5070,8939.0,"(-34.896666825, 138.64348229583334)",-34.896666825,138.64348229583334
5072,4342.0,"(-34.90548524018692, 138.6802084211838)",-34.90548524018692,138.6802084211838
5073,6461.0,"(-34.89814869173333, 138.67681713626666)",-34.89814869173333,138.67681713626666
5074,8784.0,"(-34.88217844054054, 138.66890255675676)",-34.88217844054054,138.66890255675676
5075,5406.0,"(-34.871596888372096, 138.66933852790697)",-34.871596888372096,138.66933852790697
5076,2351.0,"(-34.8707625, 138.71204801538462)",-34.8707625,138.71204801538462
5081,8006.0,"(-34.89806363240741, 138.61055029074075)",-34.89806363240741,138.61055029074075
5082,15688.0,"(-34.89029873586207, 138.59257767172411)",-34.89029873586207,138.59257767172411
5083,8130.0,"(-34.87981159090909, 138.60867954545455)",-34.87981159090909,138.60867954545455
5084,20326.0,"(-34.86020999652778, 138.59373967708333)",-34.86020999652778,138.59373967708333
5085,19426.0,"(-34.85170927857143, 138.62041319285714)",-34.85170927857143,138.62041319285714
5086,16115.0,"(-34.869948567741936, 138.63227927419354)",-34.869948567741936,138.63227927419354
5087,8936.0,"(-34.877885786363635, 138.63611613636363)",-34.877885786363635,138.63611613636363
5088,4616.0,"(-34.84810983888889, 138.66639535555555)",-34.84810983888889,138.66639535555555
5089,2014.0,"(-34.85605804285714, 138.69850782857145)",-34.85605804285714,138.69850782857145
5090,3419.0,"(-34.844202825, 138.6989539)",-34.844202825,138.6989539
5091,3463.0,"(-34.81802736206896, 138.7255047172414)",-34.81802736206896,138.7255047172414
5092,18181.0,"(-34.82891649166667, 138.68386863611113)",-34.82891649166667,138.68386863611113
5093,6024.0,"(-34.837682663297876, 138.6687299356383)",-34.837682663297876,138.6687299356383
5094,8742.0,"(-34.8417976625, 138.592804903125)",-34.8417976625,138.592804903125
5095,21211.0,"(-34.81825282083333, 138.613003725)",-34.81825282083333,138.613003725
5096,12939.0,"(-34.806236271428574, 138.6530133857143)",-34.806236271428574,138.6530133857143
5097,6662.0,"(-34.8217726, 138.71636148)",-34.8217726,138.71636148
5098,10508.0,"(-34.83470167866667, 138.63295801733335)",-34.83470167866667,138.63295801733335
5106,3021.0,"(-34.788024119999996, 138.63869074000002)",-34.788024119999996,138.63869074000002
5107,15188.0,"(-34.7881911884058, 138.6115729811594)",-34.7881911884058,138.6115729811594
5108,54770.0,"(-34.7606092275, 138.621850005)",-34.7606092275,138.621850005
5109,16052.0,"(-34.777236519937695, 138.6574946165109)",-34.777236519937695,138.6574946165109
5110,11752.0,"(-34.751046575, 138.582529925)",-34.751046575,138.582529925
5111,544.0,"(-34.7243935, 138.63048325)",-34.7243935,138.63048325
5112,51314.0,"(-34.72517916923077, 138.6690089769231)",-34.72517916923077,138.6690089769231
5113,36292.0,"(-34.701066016666665, 138.674990775)",-34.701066016666665,138.674990775
5114,37379.0,"(-34.6876451652174, 138.7009999152174)",-34.6876451652174,138.7009999152174
5115,11983.0,"(-34.66796465833333, 138.68308582916669)",-34.66796465833333,138.68308582916669
5116,7952.0,"(-34.62587202222222, 138.72527991111113)",-34.62587202222222,138.72527991111113
5117,3227.0,"(-34.644596075, 138.6389046)",-34.644596075,138.6389046
5118,15311.0,"(-34.59197120923077, 138.74595662000002)",-34.59197120923077,138.74595662000002
5119,4.0,"(-34.7827756, 138.6429577)",-34.7827756,138.6429577
5120,2364.0,"(-34.6738768, 138.536490075)",-34.6738768,138.536490075
5121,1818.0,"(-34.69092785238095, 138.65063766190477)",-34.69092785238095,138.65063766190477
5125,9706.0,"(-34.7771996, 138.70853955)",-34.7771996,138.70853955
5126,3698.0,"(-34.80702421785714, 138.7121149892857)",-34.80702421785714,138.7121149892857
5127,2783.0,"(-34.7977043535433, 138.7044759047244)",-34.7977043535433,138.7044759047244
5131,288.0,"(-34.81411514285714, 138.76137674285715)",-34.81411514285714,138.76137674285715
5132,131.0,"(-34.846851066666666, 138.7803824)",-34.846851066666666,138.7803824
5133,114.0,"(-34.8237472, 138.7746294)",-34.8237472,138.7746294
5134,100.0,"(-34.9020469, 138.751971425)",-34.9020469,138.751971425
5136,91.0,"(-34.92514774, 138.72663658)",-34.92514774,138.72663658
5137,102.0,"(-34.93315735, 138.74409075)",-34.93315735,138.74409075
5138,111.0,"(-34.9391785, 138.7656987)",-34.9391785,138.7656987
5139,41.0,"(-34.9326699, 138.7987097)",-34.9326699,138.7987097
5140,77.0,"(-34.9497727, 138.6895743)",-34.9497727,138.6895743
5141,120.0,"(-34.94860353333333, 138.72030133333334)",-34.94860353333333,138.72030133333334
5142,119.0,"(-34.96041986666667, 138.7463787)",-34.96041986666667,138.7463787
5144,65.0,"(-34.9723821, 138.7760746)",-34.9723821,138.7760746
5150,87.0,"(-34.9720155, 138.6694885)",-34.9720155,138.6694885
5151,67.0,"(-34.9822479, 138.7262528)",-34.9822479,138.7262528
5152,2220.0,"(-34.999356067687074, 138.72034228979592)",-34.999356067687074,138.72034228979592
5153,1381.0,"(-35.05403538809524, 138.73706777857143)",-35.05403538809524,138.73706777857143
5154,804.0,"(-35.01408758235294, 138.73676651176473)",-35.01408758235294,138.73676651176473
